city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
荆门市,,,,,,,,,,,,,,,,0.2,,0.2,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.02,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.06,,,,,0.55,,0.12,,,,2.68,0.33,1.2,5.85,5.12,0.28,,2.05,5.03,0.25,0.29,2.37,1.02,,0.07,,,,,0.18,0.23,0.1,0.05,0.06,,,,0.06,,0.04,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,,,,,0.04,,,,,,,,,,,0.01,0.05,,,,,,,0.06,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.06,,,0.09,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,
孝感市,,,,,,,,,,,,0.1,,,,0.44,,0.26,0.22,0.09,,,,,,,,,,,,,,,,,,0.03,,,,,,0.05,,,0.08,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.03,,,,,,,,,,,,,0.05,0.06,,,,,0.03,,,,0.09,,0.07,,,,,,,,,,0.04,0.04,,,,,0.11,,,0.06,,0.07,,,,,,,,,,,,,,,,,,,,0.08,0.09,,0.11,,0.08,0.07,0.08,,0.07,0.13,,0.21,,1.02,0.08,0.41,,15.78,0.96,1.06,1.6,1.88,1.14,4.21,,2.13,1.89,1.79,12.75,0.59,,0.13,0.09,0.03,,0.08,0.17,0.12,0.05,0.08,,,,0.09,,,0.08,0.06,,0.02,,,,,,,,,0.02,,0.03,0.04,0.02,,,0.01,,0.04,,0.03,,0.05,0.01,,0.02,,0.04,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.08,,,0.03,,,,,,0.05,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
荆州市,,,,,,,,,,,,,,0.13,,,,2.48,0.38,0.1,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.08,0.06,,0.05,,,,,,,,,,,0.1,,0.06,0.03,,,0.06,,,,,,,,,0.09,0.16,0.07,,0.08,,,,,,,,,,,,0.05,,,,0.04,,,,,,,,,0.06,,0.06,,0.05,0.06,,0.05,0.1,0.26,,0.09,,0.08,,5.06,0.5,0.87,16.92,1.46,0.44,11.41,1.32,,0.6,2.7,0.75,1.95,,0.46,0.17,0.18,0.14,0.12,4.74,4.77,0.44,0.56,0.14,0.13,0.1,0.09,0.26,0.08,0.07,0.11,,0.05,0.04,,0.04,,0.02,0.04,0.03,,0.03,0.03,0.06,0.05,0.04,0.02,0.04,,0.03,0.03,0.13,,,,,,0.02,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.1,0.1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,
黄冈市,,,,,,,,,0.17,0.18,0.29,0.63,0.39,2.82,,0.39,,0.27,0.4,,0.17,0.12,,0.13,,0.45,,,0.15,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.03,,,,,,0.09,0.04,,0.06,0.14,,,,0.06,0.05,0.05,,0.05,0.12,,0.32,0.06,0.1,,0.1,0.06,,0.15,0.08,0.17,0.19,0.12,0.07,,0.07,0.14,2.08,0.13,0.04,0.23,0.04,0.87,,0.26,0.05,0.14,,0.13,0.09,0.12,0.02,0.12,0.08,0.28,0.45,0.29,0.1,9.18,0.12,0.21,0.2,0.3,0.24,0.24,0.26,,,,0.05,,,,,,,,,,,,0.04,0.11,0.05,,,,,0.05,0.06,0.12,,,0.1,,0.14,,1.28,0.09,0.23,,12.67,12.65,0.77,1.04,0.9,7.67,0.79,1.81,0.76,,1.65,0.81,0.65,,0.12,0.05,0.03,0.06,,0.17,0.09,0.11,0.09,0.08,0.06,0.08,0.11,0.12,0.05,0.11,0.14,,0.02,0.03,,,,,0.05,0.02,,0.05,,0.01,0.1,0.03,0.02,,0.02,,0.03,,0.03,,0.06,,0.02,,,,,,,0.05,,,,,,,,,,,,,,,0.02,,0.05,0.11,,,,,,,,0.03,,,0.06,0.11,0.05,0.09,,,0.03,,,0.06,0.07,0.03,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,0.08,0.05,,,,0.1,,0.09,,,0.04,,,,0.03,,0.37,0.07,,,,,,,,,,,,,,,,0.09,,,,
咸宁市,,,,,,,,,,,,,,0.35,,,,1.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.05,,0.05,,,0.05,,,0.12,0.07,0.07,0.71,0.15,,0.1,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,0.11,,,,6.28,4.29,0.36,0.48,0.38,1.6,0.56,0.8,1.72,0.82,,0.53,0.27,,0.28,0.15,0.08,0.07,,2.93,0.15,,0.08,0.08,0.05,,0.08,,,,0.07,,,,,,,0.01,,0.02,0.03,,0.01,0.02,0.04,0.02,,0.05,0.02,,,0.1,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
随州市,,,,,,,,,,,,,0.24,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,0.08,,,0.03,0.2,,,,0.1,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,0.07,,0.95,,1.49,,0.28,,2.98,0.3,1.05,0.36,5.28,0.31,1.61,3.73,0.32,0.37,0.28,,0.15,,,,,,0.06,0.08,0.07,,,,,,,,,0.04,,,,,,,,,0.02,,0.02,0.03,,,0.03,,,,,,,,,,,,,,,0.06,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.22,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
恩施土家族苗族自治州,,,,,,,,,,,0.16,,,,,,,1.61,,,,2.77,0.18,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.12,,,,,0.1,,0.16,0.08,,,,,,,,,,,,,,,,,,,0.15,0.03,0.06,,,0.03,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.23,0.26,11.16,0.57,0.1,1.1,0.2,1.16,0.24,0.32,0.28,,,0.08,0.04,0.04,,,0.06,0.7,2.69,0.09,,,,,11.63,,,,,0.03,,,,,,,,,,,0.01,,0.02,,,,,0.05,,0.06,,,,,,,0.05,0.02,0.03,,,,,,0.06,0.03,0.06,,0.02,,,,,,0.06,,,0.1,0.23,,0.08,,0.02,,,,,0.05,,0.03,0.08,0.04,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,,
省直辖县级行政区划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙市,0.43,0.18,0.17,0.37,0.19,0.27,0.18,0.34,0.46,0.32,0.66,0.32,1.3,4.79,0.33,0.56,2.93,,2.59,1.0,1.59,0.63,0.4,0.79,0.73,0.41,0.52,0.26,0.34,0.26,1.57,0.18,0.06,0.1,0.13,0.1,0.08,0.05,0.02,0.08,0.05,0.11,0.15,0.06,0.11,0.12,0.21,0.07,0.06,0.14,0.08,0.11,0.05,0.11,0.14,0.02,0.13,0.05,0.08,,0.04,0.02,0.01,0.03,,0.11,0.23,,0.05,,0.04,0.03,,,0.02,0.03,0.04,,0.09,0.1,,0.04,,0.07,0.06,,0.02,,0.22,0.09,0.06,0.08,0.02,0.07,0.15,0.02,,0.13,,0.06,,0.24,0.13,0.13,0.07,0.13,0.16,0.09,0.11,0.1,0.13,0.07,0.13,0.05,0.33,0.25,0.31,0.11,0.13,0.14,0.34,0.36,0.19,0.25,0.2,0.24,0.11,0.09,0.14,0.07,0.03,0.16,0.32,0.14,0.05,0.16,,0.15,0.11,0.18,0.15,0.53,0.37,0.3,0.39,0.33,0.16,0.28,0.21,0.2,1.28,0.36,20.83,1.07,1.79,0.66,0.66,1.24,4.81,0.82,0.46,0.11,0.12,0.07,0.1,0.05,0.21,0.08,0.12,0.1,0.13,0.07,0.04,0.09,0.05,0.07,0.05,0.12,0.16,0.11,0.15,0.2,0.18,0.18,0.16,0.08,0.16,0.19,0.12,0.1,0.28,0.12,0.42,0.18,0.35,,1.41,0.47,0.43,0.66,0.61,0.24,0.49,0.6,2.24,0.4,1.93,0.62,1.02,,,40.46,51.25,21.78,22.63,49.71,29.11,17.27,48.77,12.81,12.44,11.89,31.9,11.94,0.65,1.3,0.68,0.31,0.24,0.25,0.21,0.25,0.17,0.12,0.18,0.14,0.14,0.13,0.35,0.36,0.33,0.24,0.12,0.15,0.11,0.29,0.33,1.25,0.22,0.49,0.12,0.2,0.2,0.2,0.13,0.4,0.23,0.09,0.1,0.36,0.7,,,0.19,0.05,0.05,0.07,0.04,0.17,,0.05,0.04,0.07,0.1,0.04,0.07,0.11,0.14,0.06,0.12,0.04,0.03,0.1,0.09,0.31,0.19,0.29,0.13,0.14,0.62,0.19,0.66,0.21,0.3,0.14,0.07,0.31,0.13,0.45,0.06,0.1,0.05,0.1,0.11,0.88,0.12,0.28,,0.03,0.11,,,,,,,0.23,0.04,0.13,0.08,0.07,0.06,0.18,0.03,0.35,0.16,0.13,0.08,0.09,0.09,0.11,0.07,,0.06,0.11,0.1,,0.13,0.07,0.03,0.12,,,,0.03,,,0.07,0.11,0.03,0.03,0.06,0.07,0.23,0.02,,,0.08,0.03,0.13,,,0.05,0.04,0.04,0.03,,
株洲市,,,,,,,,,,,0.14,,0.2,1.97,,,0.58,,0.69,0.19,0.21,,,0.13,,,,,,,,,,,,,,,0.02,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,0.12,,0.05,,,,,0.07,0.04,,,,,,,0.05,,,,,,,,,,0.07,,,0.05,,0.02,0.11,0.07,0.05,0.2,,13.98,0.11,0.65,0.29,0.24,1.28,0.89,0.14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,,,,0.03,0.1,0.17,0.87,,0.4,0.12,,,10.77,,14.15,5.85,2.75,2.16,1.53,1.2,2.26,4.12,1.44,1.11,3.83,0.82,0.16,0.33,0.16,0.06,0.03,0.07,0.05,0.07,0.02,0.09,0.04,0.06,0.04,0.05,0.04,0.09,0.12,0.06,0.05,0.03,,0.07,0.1,0.15,0.04,0.15,0.07,,0.06,0.02,,0.03,0.04,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.06,0.04,,0.09,,0.14,0.06,,,,,,0.06,0.02,,,,,0.14,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,0.03,
湘潭市,,,,,,,,,,,,,,0.27,,,0.23,,0.39,0.12,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.08,0.07,0.64,0.11,0.24,,,0.08,0.18,0.17,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,,0.11,,0.02,0.07,0.05,0.08,,0.14,,0.08,,11.39,12.8,,3.4,1.47,1.61,1.17,0.74,1.64,1.3,0.83,0.95,9.33,0.6,0.08,0.31,0.11,0.03,,0.04,,,0.01,0.02,0.03,0.03,0.02,0.01,0.12,0.05,0.04,0.04,0.02,,0.01,0.03,0.07,0.12,0.04,,0.03,0.04,,0.03,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,,,,0.03,0.11,,0.07,,,,,,,,0.03,0.07,,,,0.1,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,0.02,,
衡阳市,,,,,,,,,,,,,0.19,0.39,,,0.29,,2.39,0.63,0.3,,,0.15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.09,0.06,,,,,,,0.07,,,0.12,,,,,,,,,,,,0.06,0.03,0.07,,0.09,0.09,,0.1,0.12,0.55,,0.3,0.15,0.17,0.4,0.28,0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.05,,,0.1,0.02,0.14,0.07,0.13,,0.16,,0.13,,4.87,5.67,3.58,,4.15,1.04,0.81,0.71,0.81,10.78,9.67,1.02,3.14,0.38,0.7,1.26,0.41,0.14,0.04,0.33,0.19,0.1,0.07,0.19,0.14,0.09,0.07,0.11,0.14,0.43,0.38,0.38,,0.03,0.05,0.15,0.36,1.06,0.14,0.12,0.05,0.03,0.08,0.1,0.05,0.27,0.07,0.09,,0.07,0.09,,,,,0.03,,,,,,,,,,,,,,,,,,,0.04,,0.05,,0.03,0.17,0.08,0.12,,0.06,0.03,,,,,0.06,,0.02,,,0.16,0.04,0.06,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,0.01,,
邵阳市,,,,,,,,,,,,,,0.17,,,0.17,,1.23,0.95,,,,0.53,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,0.14,0.06,,,,,,,,,,0.06,,,,,,,,,,,,,0.06,,,,,,0.07,,0.25,,0.12,,0.08,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.05,,,,0.02,,,0.11,,0.13,,,,4.39,1.86,1.45,3.46,,0.65,0.82,0.72,0.83,1.04,4.13,7.09,11.74,1.32,0.24,0.13,0.34,0.12,,0.1,0.09,0.04,0.04,0.05,0.14,0.03,0.04,0.03,0.08,0.26,0.3,0.11,0.04,0.07,0.02,0.12,0.38,2.59,0.06,0.08,,0.03,0.09,0.05,0.04,0.22,0.11,0.08,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.12,0.1,0.06,0.06,0.48,0.17,0.88,0.14,0.05,0.05,0.02,,,0.05,0.05,0.07,0.03,0.03,0.08,0.07,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
岳阳市,,,,,,,,,,,,,0.17,0.45,,,2.74,,0.62,0.16,,,,0.15,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,0.09,,,0.04,,,0.06,0.1,,0.03,,,,,,,,0.08,0.07,,,,,,,0.05,,,,0.04,0.05,0.04,,0.06,,0.08,0.08,0.55,0.76,0.19,,0.07,0.09,0.33,,0.07,,,,,0.03,,,,,,,,,,,,,,,,0.08,,,,,,,0.05,,,,0.11,,,,0.51,0.18,0.13,0.4,0.18,0.06,0.35,0.2,5.07,0.17,5.59,0.21,0.17,,12.51,2.12,1.72,1.12,0.85,,2.8,1.1,8.65,0.84,0.72,0.71,1.47,0.63,0.13,0.25,0.15,0.04,,0.07,0.09,0.06,0.02,0.02,0.06,0.03,0.03,0.05,0.06,0.09,0.11,0.06,0.03,,0.01,0.06,0.04,0.12,,,0.12,0.06,0.04,0.02,0.03,0.05,,0.01,0.03,0.04,,,,,,0.03,0.04,,,,,,,,,,0.05,0.08,,,,0.01,,,0.06,0.07,,,,0.12,,0.05,0.07,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,0.04,,0.02,,,,,,,,0.01,,,,,
常德市,,,,,,,,,,,,,,0.18,,,1.59,,0.57,0.14,,0.18,,0.21,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,,,,,,,,0.04,,,0.07,0.04,,0.07,0.23,,0.08,0.1,0.1,0.08,0.11,0.09,0.08,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,0.18,0.05,0.12,0.86,0.21,0.03,0.32,0.07,4.17,,0.28,0.07,0.79,,5.46,1.04,0.95,0.7,0.93,1.99,,20.8,8.21,0.62,0.58,3.73,1.36,2.61,0.11,0.17,0.12,0.07,0.03,0.05,0.07,0.05,0.01,0.04,0.08,0.07,0.03,0.04,0.04,0.13,0.11,0.07,,0.03,0.02,,0.05,0.16,0.03,,,0.02,0.04,,,0.06,0.03,0.05,0.02,,,,,,,,,0.03,,,0.05,,,,,,,,,0.07,,,0.05,0.04,0.06,0.04,0.08,0.03,0.04,0.27,0.05,0.13,0.04,,,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.03,,,,,,,,,
张家界市,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.17,,,,1.44,,1.34,0.33,0.25,0.17,0.3,0.29,7.81,,0.45,0.16,0.14,1.51,0.35,10.72,,0.03,,,,,,,,0.02,,,0.01,0.01,,,,,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
益阳市,,,,,,,,,,,,,,0.13,,,0.34,,0.44,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.07,,,,,0.32,,0.07,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.08,0.05,,0.12,,,0.11,0.05,0.51,,0.25,,,,9.95,1.67,1.61,0.85,0.83,7.1,9.4,1.26,,0.45,0.48,1.6,5.63,0.62,0.09,0.14,0.09,0.03,,0.06,0.04,0.04,,0.04,0.04,,0.03,0.03,0.13,0.08,0.07,0.06,0.02,0.02,,0.03,0.05,0.16,0.05,,,,0.02,,0.02,0.06,,0.02,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.11,,,,,,0.03,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,
郴州市,,,,,,,,,,,,,,0.58,,,,,2.82,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.1,,0.05,,,,0.06,0.05,0.05,,,0.44,,0.17,0.15,0.93,1.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.11,,,0.09,,,,0.08,,,,1.88,2.63,0.67,7.52,0.92,0.39,0.42,0.34,0.39,,7.29,0.41,0.83,0.32,0.5,8.0,0.31,0.18,0.05,0.22,0.11,0.05,0.08,0.19,0.18,0.12,0.12,0.11,0.14,1.56,0.49,0.22,0.05,0.06,0.08,,0.06,0.33,0.21,,,,0.05,0.03,0.02,0.37,0.05,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.07,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.03,,,,,,,,,,,,,,,,
